id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
6212,1104,350,erc1155,1677393289,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,1.05,true,2,2.05,0.0315,0.0105,0.0,0.958 
7043,1935,351,erc1155,1677393290,false,8,0x9decc84cc0b18e9c294aefd2e4c59e8978fd838c,5.25,true,2,10.25,0.1575,0.0525,0.0,4.79 
7369,2261,351,erc1155,1677393326,false,8,0x4edb4161d16c89b71aec027930a943c3d4cf0777,6.0,true,3,13.0,0.18,0.06,0.0,5.41 
6962,1854,351,erc1155,1677393368,false,8,0x211ee215fd860da243d6534f488a46c55db89381,5.5,true,2,10.5,0.165,0.055,0.0,5.03 
9853,4745,356,erc1155,1677393369,false,8,0x579361d2636152df34db1d6dfd343f5037ddc71d,2.5,true,4,8.0100000000000005,0.075,0.025,0.0,2.228449999999999998 
9862,4754,356,erc1155,1677393425,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,2.5,true,2,3.75,0.075,0.025,0.0,2.3375 
6633,1525,350,erc1155,1677393454,false,8,0x221fb400c8e70472f95ad3df5456a57a21b54bf3,3.0,true,2,4.0,0.09,0.03,0.0,2.83 
6402,1294,350,erc1155,1677393485,false,8,0xb7039fbd301cfaa7c66ba43fc10e2c60aa18f785,5.0,true,2,6.0,0.15,0.05,0.0,4.75 
5829,721,350,erc1155,1677393552,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,1.0,true,2,1.8,0.03,0.01,0.0,0.92 
9848,4740,356,erc1155,1677393681,false,8,0xe88632728ed377f556cb964e6f670f6017d497e4,3.0,true,2,3.5,0.09,0.03,0.0,2.855 
9803,4695,356,erc1155,1677393773,false,8,0x7af4922fc22037d573e889201be7c38e42f22220,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6599,1491,350,erc1155,1677393859,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,1.0,true,1,1.0,0.03,0.01,0.0,0.96 
7042,1934,351,erc1155,1677393893,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,1,5.0,0.15,0.05,0.0,4.8 
7059,1951,351,erc1155,1677393903,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,1,5.0,0.15,0.05,0.0,4.8 
7050,1942,351,erc1155,1677393934,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,6.0,true,2,9.0,0.18,0.06,0.0,5.61 
7423,2315,351,erc1155,1677393957,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,5.2,true,2,9.2,0.156,0.052,0.0,4.792 
10042,4934,355,erc1155,1677394027,false,8,0xba39c047714b4ca6244dc433d3ae3924691e0171,18.0,true,2,21.0,0.54,0.18,0.0,17.13 
10134,5026,355,erc1155,1677394062,false,8,0xba39c047714b4ca6244dc433d3ae3924691e0171,22.0,true,2,25.0,0.66,0.22,0.0,20.97 
6963,1855,351,erc1155,1677394081,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,1,5.0,0.15,0.05,0.0,4.8 
7245,2137,351,erc1155,1677394325,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,5.2,true,3,10.2,0.156,0.052,0.0,4.742 
7405,2297,351,erc1155,1677394467,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,2,6.0,0.15,0.05,0.0,4.75 
9876,4768,356,erc1155,1677394588,false,8,0x072b96cf92aa03f453ccfb114a166d11f88a3414,3.0,true,3,7.305,0.09,0.03,0.0,2.763975 
5928,820,350,erc1155,1677394632,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,2.0,true,2,2.8,0.06,0.02,0.0,1.88 
6475,1367,350,erc1155,1677394795,false,8,0x6c127b8ff818d1bbbf6015c327fde5ca73a78a91,1.7,true,2,2.5,0.051,0.017,0.0,1.592 
7057,1949,351,erc1155,1677394863,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,3,6.94,0.15,0.05,0.0,4.703 
7331,2223,351,erc1155,1677394865,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,6.0,true,3,9.9,0.18,0.06,0.0,5.565 
10135,5027,355,erc1155,1677394918,false,8,0xa915023b3ed1e00e078789e63de079b4d6dcc348,16.66,true,4,54.16,0.4998,0.1666,0.0,15.1312666675 
6278,1170,350,erc1155,1677394972,false,8,0x8560f3aa7c2522bfeabca88bb8f5f55efe9611fe,0.95,true,1,0.95,0.0285,0.0095,0.0,0.912 
7233,2125,351,erc1155,1677394996,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,3,6.94,0.15,0.05,0.0,4.703 
